Tiempo ,Avance,Realiza,Presenta,Textos ,Material,Foros,Aprueba
5.83,94,66.67,66.67,100,0,100,1
7.13,94,41.67,0,100,0,66.67,1
0.35,63,16.67,0,66.67,0,0,0
3.4,94,75,100,100,0,100,1
0.47,0,0,0,0,0,0,0
0.38,0,8.33,0,0,0,33.33,0
0.03,10,2.78,0,11.11,0,0,0
0,0,0,0,0,0,0,0
3.03,21,22.22,33.33,22.22,0,33.33,1
0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0
0.3,26,6.95,0,27.78,0,0,0
0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0
1.77,94,41.67,33.33,100,0,33.33,1
0.02,0,0,0,0,0,0,0
3.02,94,33.33,33.33,100,0,0,1
0,0,0,0,0,0,0,0
0.2,26,6.95,0,27.78,0,0,0
8.18,94,58.34,66.67,100,0,66.67,1
0,0,0,0,0,0,0,0
0.28,47,12.5,0,50,0,0,0
2.48,94,25,0,100,0,0,1
0.13,0,0,0,0,0,0,0
0.22,94,25,0,100,0,0,0
0.58,5,1.39,0,5.56,0,0,0
0.1,0,0,0,0,0,0,0
1.1,94,25,0,100,0,0,0
0.55,0,0,0,0,0,0,0
1.58,21,5.56,0,22.22,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.27,15,4.17,0,16.67,0,0,0
4.62,94,50,0,100,0,100,1
1.68,31,8.33,0,33.33,0,0,1
0.4,0,0,0,0,0,0,0
0.7,21,5.56,0,22.22,0,0,0
0.88,94,25,0,100,0,0,0
3.08,94,58.33,100,100,0,33.33,1
4.32,94,50,0,100,0,100,1
0.23,10,11.11,33.33,11.11,0,0,0
0.77,47,12.5,0,50,0,0,0
1,73,36.11,33.33,77.78,0,33.33,0
0.38,21,5.56,0,22.22,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.1,0,8.33,33.33,0,0,0,0
1.28,36,18.06,0,38.89,0,33.33,0
0.15,5,1.39,0,5.56,0,0,0
3.93,94,41.67,0,100,0,66.67,1
0,0,0,0,0,0,0,0
2.32,94,66.67,100,100,0,66.67,1
0,0,0,0,0,0,0,0
0.58,21,5.56,0,22.22,0,0,0
0.37,0,0,0,0,0,0,0
7.08,94,33.33,0,100,0,33.33,1
5.9,94,33.33,33.33,100,0,0,1
9.97,94,66.67,100,100,0,66.67,1
0.67,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4.22,94,41.67,0,100,0,66.67,1
0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0
1.1,47,20.83,0,50,0,33.33,0
0,0,0,0,0,0,0,0
5.45,52,38.89,0,55.56,0,100,1
0,0,0,0,0,0,0,0
6.2,36,43.06,100,38.89,0,33.33,1
3.42,57,23.61,0,61.11,0,33.33,1
2.27,94,50,66.67,100,0,33.33,1
7.12,52,47.23,66.67,55.56,0,66.67,1
3.53,78,37.5,0,83.33,0,66.67,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.22,47,12.5,0,50,0,0,0
1.63,21,13.89,0,22.22,0,33.33,0
0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0
3.72,36,34.72,0,38.89,0,100,1
0.42,21,5.56,0,22.22,0,0,0
0.03,5,1.39,0,5.56,0,0,0
4.58,47,37.5,0,50,0,100,1
1.73,21,5.56,0,22.22,0,0,1
2.48,73,27.78,0,77.78,0,33.33,1
0.07,0,0,0,0,0,0,0
0.7,52,38.89,100,55.56,0,0,0
0.68,26,15.28,33.33,27.78,0,0,0
3.67,94,41.67,0,100,0,66.67,1
1.78,31,25,0,33.33,0,66.67,1
0.37,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0
2.28,52,38.89,0,55.56,0,100,1
2.15,94,50,33.33,100,0,66.67,1
4.63,47,37.5,0,50,0,100,1
1.18,94,33.33,33.33,100,0,0,0
0.37,0,0,0,0,0,0,0
4.3,94,25,0,100,0,0,1
3.78,94,50,0,100,0,100,1
0.45,26,6.95,0,27.78,0,0,0
0,0,0,0,0,0,0,0
0.98,0,16.67,0,0,0,66.67,0
0,0,0,0,0,0,0,0
1.27,0,16.67,0,0,0,66.67,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0
0.3,36,9.72,0,38.89,0,0,0
0.55,21,13.89,0,22.22,0,33.33,0
0,0,0,0,0,0,0,0
1.4,5,1.39,0,5.56,0,0,0
2.2,26,6.95,0,27.78,0,0,1
0,10,2.78,0,11.11,0,0,0
0.9,94,41.67,66.67,100,0,0,0
0.2,15,20.84,66.67,16.67,0,0,0
1.15,26,15.28,33.33,27.78,0,0,0
0,0,0,0,0,0,0,0
3.53,94,50,0,100,0,100,1
1.73,94,50,33.33,100,0,66.67,1
0.38,94,33.33,33.33,100,0,0,0
0,0,0,0,0,0,0,0
0.57,47,12.5,0,50,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
4.35,94,33.33,0,100,0,33.33,1
0.78,68,18.06,0,72.22,0,0,0
0.17,5,1.39,0,5.56,0,0,0
0,0,0,0,0,0,0,0
0.03,10,2.78,0,11.11,0,0,0
2.32,36,26.39,0,38.89,0,66.67,1
0.92,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.38,5,1.39,0,5.56,0,0,0
0.23,0,0,0,0,0,0,0
0.27,21,5.56,0,22.22,0,0,0
0,0,0,0,0,0,0,0
0.28,26,6.95,0,27.78,0,0,0
0.32,0,0,0,0,0,0,0
7.38,94,50,0,100,0,100,1
4.72,36,34.72,0,38.89,0,100,1
1.22,94,25,0,100,0,0,0
0,0,0,0,0,0,0,0
0.18,5,1.39,0,5.56,0,0,0
5.87,94,66.67,100,100,0,66.67,1
0,0,0,0,0,0,0,0
0.13,5,1.39,0,5.56,0,0,0
0.97,94,25,0,100,0,0,0
0.52,21,5.56,0,22.22,0,0,0
0.6,21,5.56,0,22.22,0,0,0
0.77,15,4.17,0,16.67,0,0,0
2.45,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3.23,94,66.67,66.67,100,0,100,1
0.28,94,25,0,100,0,0,0
1.15,0,0,0,0,0,0,0
2.9,89,23.61,0,94.44,0,0,1
2.92,42,36.11,0,44.44,0,100,1
1.65,94,50,0,100,0,100,1
1.3,21,5.56,0,22.22,0,0,1
1.65,21,5.56,0,22.22,0,0,1
3.03,21,13.89,33.33,22.22,0,0,1
1.6,15,4.17,0,16.67,0,0,0
0.17,42,11.11,0,44.44,0,0,0
0.53,26,6.95,0,27.78,0,0,0
3.53,52,13.89,0,55.56,0,0,1
0.1,15,4.17,0,16.67,0,0,0
0,0,0,0,0,0,0,0
4.23,94,50,0,100,0,100,1
2.33,26,6.95,0,27.78,0,0,1
5.57,73,19.45,0,77.78,0,0,1
0.37,31,8.33,0,33.33,0,0,0
0,0,0,0,0,0,0,0
0.6,94,25,0,100,0,0,0
1.52,5,1.39,0,5.56,0,0,0
0,0,0,0,0,0,0,0
2.45,21,5.56,0,22.22,0,0,0
0.58,94,25,0,100,0,0,0
0,0,0,0,0,0,0,0
4.18,94,50,0,100,0,100,1
0.28,42,11.11,0,44.44,0,0,0
0,0,0,0,0,0,0,0
2.15,94,66.67,100,100,0,66.67,1
1,73,19.45,0,77.78,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0
4.2,94,50,0,100,0,100,1
0.82,0,16.67,0,0,0,66.67,0
2.82,15,29.17,0,16.67,0,100,1
2.32,94,41.67,0,100,0,66.67,1
1.78,94,50,100,100,0,0,0
0.62,26,15.28,33.33,27.78,0,0,0
3.7,94,50,0,100,0,100,1
0.62,5,1.39,0,5.56,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0
3.67,94,50,0,100,0,100,1
0,0,0,0,0,0,0,0
1.17,31,8.33,0,33.33,0,0,0
0.28,21,30.56,100,22.22,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
7.48,94,75,100,100,0,100,1
0.25,26,6.95,0,27.78,0,0,0
0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0
0.52,5,1.39,0,5.56,0,0,0
0.32,47,12.5,0,50,0,0,0
0.12,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0
5.17,21,30.56,33.33,22.22,0,66.67,1
3.75,94,41.67,0,100,0,66.67,1
0.68,94,25,0,100,0,0,0
0,0,0,0,0,0,0,0
0.85,84,22.22,0,88.89,0,0,0
0,0,0,0,0,0,0,0
0.3,68,18.06,0,72.22,0,0,0
1.2,21,5.56,0,22.22,0,0,0
0.68,21,5.56,0,22.22,0,0,0
4.07,42,27.78,66.67,44.44,0,0,0
0.05,15,4.17,0,16.67,0,0,0
0.6,94,33.33,0,100,0,33.33,1
0.72,52,22.22,0,55.56,0,33.33,0
1.65,94,25,0,100,0,0,0
